sketch_id,name,sketch_order,season,episode,time_bin,time_bin_start,time_bin_end,time_bin_center,emotion,count,total_detections,dominance_ratio,category,category2
47,Wife Joke,46,2,4,30.0-35.0%,30.0,35.0,32.5,sad,9,17,0.5294117647058824,party,
47,Wife Joke,46,2,4,35.0-40.0%,35.0,40.0,37.5,surprise,3,8,0.375,party,
47,Wife Joke,46,2,4,40.0-45.0%,40.0,45.0,42.5,disgust,5,15,0.3333333333333333,party,
47,Wife Joke,46,2,4,45.0-50.0%,45.0,50.0,47.5,happy,6,14,0.42857142857142855,party,
47,Wife Joke,46,2,4,50.0-55.0%,50.0,55.0,52.5,anger,4,13,0.3076923076923077,party,
47,Wife Joke,46,2,4,55.0-60.0%,55.0,60.0,57.5,surprise,7,14,0.5,party,
47,Wife Joke,46,2,4,60.0-65.0%,60.0,65.0,62.5,anger,6,19,0.3157894736842105,party,
47,Wife Joke,46,2,4,65.0-70.0%,65.0,70.0,67.5,sad,7,18,0.3888888888888889,party,
47,Wife Joke,46,2,4,70.0-75.0%,70.0,75.0,72.5,happy,10,25,0.4,party,
47,Wife Joke,46,2,4,75.0-80.0%,75.0,80.0,77.5,happy,9,19,0.47368421052631576,party,
47,Wife Joke,46,2,4,80.0-85.0%,80.0,85.0,82.5,sad,4,8,0.5,party,
47,Wife Joke,46,2,4,85.0-90.0%,85.0,90.0,87.5,sad,15,32,0.46875,party,
47,Wife Joke,46,2,4,90.0-95.0%,90.0,95.0,92.5,sad,9,21,0.42857142857142855,party,
47,Wife Joke,46,2,4,95.0-100.0%,95.0,100.0,97.5,sad,6,12,0.5,party,
48,Friend's Weekend,47,2,4,0.0-5.0%,0.0,5.0,2.5,neutral,10,14,0.7142857142857143,party,
48,Friend's Weekend,47,2,4,5.0-10.0%,5.0,10.0,7.5,sad,4,9,0.4444444444444444,party,
48,Friend's Weekend,47,2,4,10.0-15.0%,10.0,15.0,12.5,neutral,7,16,0.4375,party,
48,Friend's Weekend,47,2,4,15.0-20.0%,15.0,20.0,17.5,neutral,6,13,0.46153846153846156,party,
48,Friend's Weekend,47,2,4,20.0-25.0%,20.0,25.0,22.5,sad,7,12,0.5833333333333334,party,
48,Friend's Weekend,47,2,4,25.0-30.0%,25.0,30.0,27.5,happy,4,10,0.4,party,
48,Friend's Weekend,47,2,4,30.0-35.0%,30.0,35.0,32.5,neutral,4,9,0.4444444444444444,party,
48,Friend's Weekend,47,2,4,35.0-40.0%,35.0,40.0,37.5,neutral,7,13,0.5384615384615384,party,
48,Friend's Weekend,47,2,4,40.0-45.0%,40.0,45.0,42.5,neutral,9,19,0.47368421052631576,party,
48,Friend's Weekend,47,2,4,45.0-50.0%,45.0,50.0,47.5,neutral,5,19,0.2631578947368421,party,
48,Friend's Weekend,47,2,4,50.0-55.0%,50.0,55.0,52.5,surprise,3,10,0.3,party,
48,Friend's Weekend,47,2,4,55.0-60.0%,55.0,60.0,57.5,sad,4,9,0.4444444444444444,party,
48,Friend's Weekend,47,2,4,60.0-65.0%,60.0,65.0,62.5,sad,4,10,0.4,party,
48,Friend's Weekend,47,2,4,65.0-70.0%,65.0,70.0,67.5,happy,2,8,0.25,party,
48,Friend's Weekend,47,2,4,70.0-75.0%,70.0,75.0,72.5,neutral,4,10,0.4,party,
48,Friend's Weekend,47,2,4,75.0-80.0%,75.0,80.0,77.5,sad,5,8,0.625,party,
48,Friend's Weekend,47,2,4,80.0-85.0%,80.0,85.0,82.5,surprise,2,6,0.3333333333333333,party,
48,Friend's Weekend,47,2,4,85.0-90.0%,85.0,90.0,87.5,happy,2,3,0.6666666666666666,party,
48,Friend's Weekend,47,2,4,90.0-95.0%,90.0,95.0,92.5,sad,3,4,0.75,party,
48,Friend's Weekend,47,2,4,95.0-100.0%,95.0,100.0,97.5,anger,3,10,0.3,party,
49,Calico Cut Pants,48,2,4,0.0-5.0%,0.0,5.0,2.5,neutral,21,35,0.6,office,commercial
49,Calico Cut Pants,48,2,4,5.0-10.0%,5.0,10.0,7.5,sad,8,34,0.23529411764705882,office,commercial
49,Calico Cut Pants,48,2,4,10.0-15.0%,10.0,15.0,12.5,neutral,18,38,0.47368421052631576,office,commercial
49,Calico Cut Pants,48,2,4,15.0-20.0%,15.0,20.0,17.5,fear,13,35,0.37142857142857144,office,commercial
49,Calico Cut Pants,48,2,4,20.0-25.0%,20.0,25.0,22.5,surprise,10,34,0.29411764705882354,office,commercial
49,Calico Cut Pants,48,2,4,25.0-30.0%,25.0,30.0,27.5,surprise,6,20,0.3,office,commercial
49,Calico Cut Pants,48,2,4,30.0-35.0%,30.0,35.0,32.5,happy,6,27,0.2222222222222222,office,commercial
49,Calico Cut Pants,48,2,4,35.0-40.0%,35.0,40.0,37.5,surprise,13,33,0.3939393939393939,office,commercial
49,Calico Cut Pants,48,2,4,40.0-45.0%,40.0,45.0,42.5,sad,18,34,0.5294117647058824,office,commercial
49,Calico Cut Pants,48,2,4,45.0-50.0%,45.0,50.0,47.5,neutral,11,21,0.5238095238095238,office,commercial
49,Calico Cut Pants,48,2,4,50.0-55.0%,50.0,55.0,52.5,neutral,13,23,0.5652173913043478,office,commercial
49,Calico Cut Pants,48,2,4,55.0-60.0%,55.0,60.0,57.5,surprise,8,27,0.2962962962962963,office,commercial
49,Calico Cut Pants,48,2,4,60.0-65.0%,60.0,65.0,62.5,surprise,8,18,0.4444444444444444,office,commercial
49,Calico Cut Pants,48,2,4,65.0-70.0%,65.0,70.0,67.5,neutral,14,23,0.6086956521739131,office,commercial
49,Calico Cut Pants,48,2,4,70.0-75.0%,70.0,75.0,72.5,neutral,11,23,0.4782608695652174,office,commercial
49,Calico Cut Pants,48,2,4,75.0-80.0%,75.0,80.0,77.5,neutral,9,15,0.6,office,commercial
49,Calico Cut Pants,48,2,4,80.0-85.0%,80.0,85.0,82.5,disgust,6,29,0.20689655172413793,office,commercial
49,Calico Cut Pants,48,2,4,85.0-90.0%,85.0,90.0,87.5,sad,8,26,0.3076923076923077,office,commercial
49,Calico Cut Pants,48,2,4,90.0-95.0%,90.0,95.0,92.5,disgust,9,31,0.2903225806451613,office,commercial
49,Calico Cut Pants,48,2,4,95.0-100.0%,95.0,100.0,97.5,happy,14,28,0.5,office,commercial
50,Parking Lot,49,2,5,0.0-5.0%,0.0,5.0,2.5,sad,5,7,0.7142857142857143,driving,
50,Parking Lot,49,2,5,5.0-10.0%,5.0,10.0,7.5,neutral,2,2,1.0,driving,
50,Parking Lot,49,2,5,10.0-15.0%,10.0,15.0,12.5,neutral,1,1,1.0,driving,
50,Parking Lot,49,2,5,15.0-20.0%,15.0,20.0,17.5,neutral,1,1,1.0,driving,
50,Parking Lot,49,2,5,20.0-25.0%,20.0,25.0,22.5,anger,2,2,1.0,driving,
50,Parking Lot,49,2,5,30.0-35.0%,30.0,35.0,32.5,neutral,2,5,0.4,driving,
50,Parking Lot,49,2,5,35.0-40.0%,35.0,40.0,37.5,sad,4,5,0.8,driving,
50,Parking Lot,49,2,5,40.0-45.0%,40.0,45.0,42.5,sad,5,7,0.7142857142857143,driving,
50,Parking Lot,49,2,5,45.0-50.0%,45.0,50.0,47.5,anger,4,7,0.5714285714285714,driving,
50,Parking Lot,49,2,5,50.0-55.0%,50.0,55.0,52.5,neutral,3,4,0.75,driving,
50,Parking Lot,49,2,5,55.0-60.0%,55.0,60.0,57.5,sad,3,5,0.6,driving,
50,Parking Lot,49,2,5,60.0-65.0%,60.0,65.0,62.5,sad,4,4,1.0,driving,
50,Parking Lot,49,2,5,65.0-70.0%,65.0,70.0,67.5,sad,5,6,0.8333333333333334,driving,
50,Parking Lot,49,2,5,70.0-75.0%,70.0,75.0,72.5,sad,5,7,0.7142857142857143,driving,
50,Parking Lot,49,2,5,75.0-80.0%,75.0,80.0,77.5,sad,4,6,0.6666666666666666,driving,
50,Parking Lot,49,2,5,80.0-85.0%,80.0,85.0,82.5,happy,1,1,1.0,driving,
50,Parking Lot,49,2,5,85.0-90.0%,85.0,90.0,87.5,anger,3,6,0.5,driving,
50,Parking Lot,49,2,5,90.0-95.0%,90.0,95.0,92.5,sad,5,6,0.8333333333333334,driving,
50,Parking Lot,49,2,5,95.0-100.0%,95.0,100.0,97.5,happy,2,4,0.5,driving,
51,Del Frisco's Double Eagle,50,2,5,0.0-5.0%,0.0,5.0,2.5,happy,11,20,0.55,restaurant,office
51,Del Frisco's Double Eagle,50,2,5,5.0-10.0%,5.0,10.0,7.5,happy,9,13,0.6923076923076923,restaurant,office
51,Del Frisco's Double Eagle,50,2,5,10.0-15.0%,10.0,15.0,12.5,happy,10,17,0.5882352941176471,restaurant,office
51,Del Frisco's Double Eagle,50,2,5,15.0-20.0%,15.0,20.0,17.5,happy,9,11,0.8181818181818182,restaurant,office
51,Del Frisco's Double Eagle,50,2,5,20.0-25.0%,20.0,25.0,22.5,happy,12,16,0.75,restaurant,office
51,Del Frisco's Double Eagle,50,2,5,25.0-30.0%,25.0,30.0,27.5,happy,6,11,0.5454545454545454,restaurant,office
51,Del Frisco's Double Eagle,50,2,5,30.0-35.0%,30.0,35.0,32.5,happy,12,22,0.5454545454545454,restaurant,office
51,Del Frisco's Double Eagle,50,2,5,35.0-40.0%,35.0,40.0,37.5,happy,7,18,0.3888888888888889,restaurant,office
51,Del Frisco's Double Eagle,50,2,5,40.0-45.0%,40.0,45.0,42.5,sad,9,15,0.6,restaurant,office
51,Del Frisco's Double Eagle,50,2,5,45.0-50.0%,45.0,50.0,47.5,sad,8,12,0.6666666666666666,restaurant,office
51,Del Frisco's Double Eagle,50,2,5,50.0-55.0%,50.0,55.0,52.5,sad,8,16,0.5,restaurant,office
51,Del Frisco's Double Eagle,50,2,5,55.0-60.0%,55.0,60.0,57.5,neutral,5,17,0.29411764705882354,restaurant,office
51,Del Frisco's Double Eagle,50,2,5,60.0-65.0%,60.0,65.0,62.5,sad,5,9,0.5555555555555556,restaurant,office
51,Del Frisco's Double Eagle,50,2,5,65.0-70.0%,65.0,70.0,67.5,disgust,3,7,0.42857142857142855,restaurant,office
