emotion,count,percentage
neutral,5688,27.60762995680241
sad,4748,23.045187594039703
happy,4726,22.938407028102702
surprise,1750,8.493908654079503
anger,1559,7.566859195262826
disgust,1492,7.241663835363782
fear,640,3.1063437363490753
