sketch_id,name,sketch_order,season,episode,time_bin,time_bin_start,time_bin_end,time_bin_center,emotion,count,total_detections,percentage,category,category2
2,Has This Ever Happened to You?,1,1,1,20.0-25.0%,20.0,25.0,22.5,anger,1,5,20.0,commercial,
2,Has This Ever Happened to You?,1,1,1,20.0-25.0%,20.0,25.0,22.5,neutral,1,5,20.0,commercial,
2,Has This Ever Happened to You?,1,1,1,20.0-25.0%,20.0,25.0,22.5,surprise,1,5,20.0,commercial,
2,Has This Ever Happened to You?,1,1,1,25.0-30.0%,25.0,30.0,27.5,disgust,2,5,40.0,commercial,
2,Has This Ever Happened to You?,1,1,1,25.0-30.0%,25.0,30.0,27.5,neutral,2,5,40.0,commercial,
2,Has This Ever Happened to You?,1,1,1,25.0-30.0%,25.0,30.0,27.5,fear,1,5,20.0,commercial,
2,Has This Ever Happened to You?,1,1,1,30.0-35.0%,30.0,35.0,32.5,disgust,4,7,57.14285714285714,commercial,
2,Has This Ever Happened to You?,1,1,1,30.0-35.0%,30.0,35.0,32.5,anger,2,7,28.57142857142857,commercial,
2,Has This Ever Happened to You?,1,1,1,30.0-35.0%,30.0,35.0,32.5,happy,1,7,14.285714285714285,commercial,
2,Has This Ever Happened to You?,1,1,1,35.0-40.0%,35.0,40.0,37.5,fear,2,3,66.66666666666666,commercial,
2,Has This Ever Happened to You?,1,1,1,35.0-40.0%,35.0,40.0,37.5,neutral,1,3,33.33333333333333,commercial,
2,Has This Ever Happened to You?,1,1,1,40.0-45.0%,40.0,45.0,42.5,happy,3,8,37.5,commercial,
2,Has This Ever Happened to You?,1,1,1,40.0-45.0%,40.0,45.0,42.5,anger,1,8,12.5,commercial,
2,Has This Ever Happened to You?,1,1,1,40.0-45.0%,40.0,45.0,42.5,disgust,1,8,12.5,commercial,
2,Has This Ever Happened to You?,1,1,1,40.0-45.0%,40.0,45.0,42.5,fear,1,8,12.5,commercial,
2,Has This Ever Happened to You?,1,1,1,40.0-45.0%,40.0,45.0,42.5,sad,1,8,12.5,commercial,
2,Has This Ever Happened to You?,1,1,1,40.0-45.0%,40.0,45.0,42.5,surprise,1,8,12.5,commercial,
2,Has This Ever Happened to You?,1,1,1,45.0-50.0%,45.0,50.0,47.5,anger,5,11,45.45454545454545,commercial,
2,Has This Ever Happened to You?,1,1,1,45.0-50.0%,45.0,50.0,47.5,neutral,3,11,27.27272727272727,commercial,
2,Has This Ever Happened to You?,1,1,1,45.0-50.0%,45.0,50.0,47.5,disgust,1,11,9.090909090909092,commercial,
2,Has This Ever Happened to You?,1,1,1,45.0-50.0%,45.0,50.0,47.5,fear,1,11,9.090909090909092,commercial,
2,Has This Ever Happened to You?,1,1,1,45.0-50.0%,45.0,50.0,47.5,sad,1,11,9.090909090909092,commercial,
2,Has This Ever Happened to You?,1,1,1,50.0-55.0%,50.0,55.0,52.5,happy,3,6,50.0,commercial,
2,Has This Ever Happened to You?,1,1,1,50.0-55.0%,50.0,55.0,52.5,neutral,2,6,33.33333333333333,commercial,
2,Has This Ever Happened to You?,1,1,1,50.0-55.0%,50.0,55.0,52.5,sad,1,6,16.666666666666664,commercial,
2,Has This Ever Happened to You?,1,1,1,55.0-60.0%,55.0,60.0,57.5,surprise,5,11,45.45454545454545,commercial,
2,Has This Ever Happened to You?,1,1,1,55.0-60.0%,55.0,60.0,57.5,anger,4,11,36.36363636363637,commercial,
2,Has This Ever Happened to You?,1,1,1,55.0-60.0%,55.0,60.0,57.5,disgust,1,11,9.090909090909092,commercial,
2,Has This Ever Happened to You?,1,1,1,55.0-60.0%,55.0,60.0,57.5,fear,1,11,9.090909090909092,commercial,
2,Has This Ever Happened to You?,1,1,1,60.0-65.0%,60.0,65.0,62.5,anger,8,10,80.0,commercial,
2,Has This Ever Happened to You?,1,1,1,60.0-65.0%,60.0,65.0,62.5,neutral,2,10,20.0,commercial,
